,id,label
23012,073-938.06_pic1.jpeg,_1
14325,010-025.07_pic4.jpeg,_1
1873,025-077.11_pic0.jpeg,_2
19042,060-294.01_pic0.jpeg,_0
14985,008-027.28_pic0.jpeg,_0
11649,027-098.05_pic1.jpeg,_0
21704,373-531.17_pic3.jpeg,_0
2771,026-111.02_pic3.jpeg,_0
15873,008-041.05_pic0.jpeg,_1
25575,373-551.20_pic0.jpeg,_1
12139,045-148.11_pic1.jpeg,_0
15425,008-030.06_pic4.jpeg,_1
20596,052-310.02_pic1.jpeg,_1
13277,010-055.05_pic0.jpeg,_1
8887,027-149.04_pic0.jpeg,_0
14321,010-026.12_pic3.jpeg,_2
4573,008-083.40_pic4.jpeg,_0
22809,073-947.04_pic0.jpeg,_1
3189,045-547.09_pic1.jpeg,_0
3477,045-534.21_pic4.jpeg,_1
12037,045-150.29_pic2.jpeg,_0
12607,045-503.66_pic0.jpeg,_0
13928,010-022.30_pic3.jpeg,_0
3165,045-538.19_pic2.jpeg,_0
9048,010-095.18_pic0.jpeg,_1
8416,002-035.05_pic1.jpeg,_1
24638,073-690.01_pic1.jpeg,_0
15225,002-038.22_pic1.jpeg,_1
4809,008-081.04_pic3.jpeg,_0
11693,027-098.17_pic3.jpeg,_1
21578,073-916.02_pic0.jpeg,_1
8254,002-030.24_pic1.jpeg,_1
12795,010-006.08_pic0.jpeg,_0
11735,010-029.20_pic3.jpeg,_0
7277,011-221.22_pic2.jpeg,_1
7017,011-242.15_pic2.jpeg,_0
3131,045-540.28_pic4.jpeg,_0
1844,026-118.16_pic3.jpeg,_0
7079,011-220.06_pic0.jpeg,_1
1545,026-119.17_pic0.jpeg,_0
5290,008-078.14_pic4.jpeg,_0
22826,373-530.21_pic2.jpeg,_2
21395,373-544.06_pic0.jpeg,_0
23388,073-934.20_pic1.jpeg,_1
6899,011-229.09_pic0.jpeg,_0
21930,373-532.33_pic4.jpeg,_0
24026,373-097.19_pic2.jpeg,_0
8473,002-021.18_pic0.jpeg,_1
22325,373-531.02_pic2.jpeg,_0
2240,025-215.37_pic3.jpeg,_1
9951,027-145.21_pic0.jpeg,_0
11952,045-172.07_pic2.jpeg,_0
4245,061-523.09_pic4.jpeg,_1
5796,001-093.09_pic0.jpeg,_0
6929,011-242.07_pic4.jpeg,_1
10425,010-075.04_pic4.jpeg,_1
5462,008-077.06_pic4.jpeg,_1
23236,073-934.14_pic4.jpeg,_0
1875,025-077.11_pic2.jpeg,_2
14685,010-051.03_pic0.jpeg,_0
24194,373-096.26_pic2.jpeg,_0
5957,007-041.05_pic4.jpeg,_0
18136,052-326.13_pic2.jpeg,_0
24943,073-736.19_pic0.jpeg,_0
8309,002-031.13_pic1.jpeg,_1
13750,011-230.08_pic2.jpeg,_1
20393,052-295.11_pic0.jpeg,_0
24500,160-327.05_pic2.jpeg,_2
2409,026-111.10_pic0.jpeg,_1
10281,010-064.03_pic0.jpeg,_0
25843,373-554.52_pic2.jpeg,_0
8311,011-075.20_pic4.jpeg,_0
23338,073-936.06_pic0.jpeg,_1
2039,026-111.41_pic0.jpeg,_1
15409,008-032.32_pic2.jpeg,_2
8532,011-074.15_pic1.jpeg,_1
8821,010-113.01_pic3.jpeg,_1
8055,011-081.07_pic3.jpeg,_2
21900,073-942.12_pic3.jpeg,_0
18220,060-173.31_pic3.jpeg,_0
22828,373-530.21_pic4.jpeg,_2
4750,008-085.12_pic0.jpeg,_0
16972,026-177.07_pic4.jpeg,_2
17140,026-183.19_pic2.jpeg,_1
14342,010-018.01_pic4.jpeg,_0
12247,045-724.05_pic0.jpeg,_1
24060,373-098.22_pic2.jpeg,_0
17625,026-242.15_pic2.jpeg,_0
16626,008-010.14_pic0.jpeg,_0
10765,027-141.19_pic0.jpeg,_2
17466,026-183.23_pic0.jpeg,_0
25286,073-872.08_pic3.jpeg,_1
1507,025-110.15_pic0.jpeg,_1
21851,373-531.34_pic1.jpeg,_0
439,026-208.04_pic0.jpeg,_0
8197,011-075.12_pic2.jpeg,_0
6269,007-282.11_pic1.jpeg,_1
23516,073-935.06_pic4.jpeg,_1
7572,011-222.02_pic3.jpeg,_2
2410,026-111.10_pic1.jpeg,_1
5562,008-077.39_pic4.jpeg,_0
11480,027-100.17_pic0.jpeg,_1
9075,010-095.09_pic0.jpeg,_0
18838,060-279.25_pic2.jpeg,_0
